altmetric_id,mendeley_readers,citeulikereaders,blog_users,blogs_posts_count,news_unique_users,total_posts_count,wiki_posts_count,facebook_users,facebook_posts,twitter_users,twitter_posts,other_articles,mean,rank,perc,scored_higher_than,sample_size,users_lecturer,users_student_pg,users_student_phd,users_student_doct,users_researcher,users_other,users_prof_assoc,users_prof,users_medi,users_ss,users_psych,users_earth,users_agri,users_arts,users_id,users_au,altmetric_score,altmetric_score_1y,altmetric_score_6m,altmetric_score_3m,altmetric_score_1m
1367126,353,0,2,2,1,10,7,0,0,0,0,5076595,6.015103043,173857,96,4902867,5076595,2,87,17,75,18,30,23,3,6,1,35,255,2,18,2,4,27.488,0,0,0,0
1367608,163,3,1,1,1,3,1,0,0,0,0,4680920,5.698715499,260684,94,4420378,4680920,4,42,5,35,7,17,15,2,23,2,16,94,12,8,0,3,16.104,0,0,0,0
1367616,120,1,2,2,0,4,2,0,0,0,0,3685110,4.93027234,193951,94,3491142,3685110,4,22,2,26,7,12,7,2,36,1,11,38,27,3,1,3,14.352,0,0,0,0
1368030,250,19,2,2,0,7,0,1,1,3,3,4680920,5.698715499,235628,94,4445445,4680920,1,92,15,45,13,25,5,4,24,6,6,20,4,19,2,6,17.774,1.85,0,0,0
1368033,81,0,3,4,3,25,1,2,2,15,15,5183409,6.120454183,87947,98,5095798,5183409,12,122,51,130,87,47,21,519,11,13,0,116,1,19,2,10,55.608,22,12,12,12
1368391,275,1,2,2,0,2,0,0,0,0,0,5037615,5.96490937,414241,91,4622767,5037615,3,78,11,65,11,24,19,28,2,2,1,132,1,14,1,4,11.632,0,0,0,0
1368925,232,0,1,1,0,3,1,0,0,1,1,4683775,5.702761282,378382,91,4306068,4683775,6,54,23,29,8,13,5,18,41,75,2,30,2,10,0,2,11.488,1,0,0,0
1368963,3807,44,3,3,0,11,1,0,0,7,7,5163064,6.09917964,187537,96,4975549,5163064,24,1272,219,987,80,184,106,393,4,7,10,3075,4,100,12,59,26.234,0,0,0,0
1369375,204,3,6,6,4,22,1,0,0,7,11,5104484,6.044944988,56265,98,5048257,5104484,6,46,8,53,9,8,10,52,5,5,2,110,2,5,1,11,78.39,46.12,41.04,0,0
1369479,1061,2,2,2,2,7,2,1,1,0,0,5002962,5.927014366,112146,97,4890665,5002962,25,241,67,168,36,69,52,113,92,672,0,79,10,34,4,29,41.25,10,0,0,0
1371546,342,0,1,2,0,4,1,0,0,1,1,4702597,5.436957229,333498,92,4369472,4702597,3,136,19,67,8,20,12,10,15,10,4,66,1,27,2,9,12.32,0,0,0,0
1371731,130,1,2,2,0,2,0,0,0,0,0,5008802,5.932760605,418906,91,4590073,5008802,2,21,9,35,4,6,10,6,26,5,3,32,3,4,3,4,11.432,0,0,0,0
1372374,865,19,3,3,0,6,1,0,0,2,2,5094648,6.036925692,193861,96,4900778,5094648,3,293,32,232,15,95,48,119,8,27,1,614,2,56,1,17,24.768,5.08,5.08,0,0
1373015,2229,18,2,2,0,3,0,0,0,1,1,5037615,5.96490937,303770,93,4733237,5037615,17,668,132,542,49,131,94,51,14,3,23,1881,7,91,10,34,15.568,1,0,0,0
1373955,1677,4,2,2,0,7,1,0,0,2,2,5090501,6.030378792,243479,95,4847164,5090501,20,385,54,329,60,82,62,4,35,1,99,1096,3,54,20,17,19.748,4,4,1,0
1375418,968,6,1,1,0,4,2,0,0,0,0,3988529,5.035345663,307696,92,3681152,3988529,6,288,47,236,29,60,24,9,6,2,6,615,1,50,2,6,10.536,0,0,0,0
1376054,347,0,2,2,4,11,2,0,0,2,2,5005286,5.928920497,82723,98,4922541,5005286,6,97,32,48,11,23,13,13,32,216,1,27,2,25,2,8,54.732,1.5,1.5,0,0
1376324,1028,1,6,6,5,20,1,0,0,7,7,5181074,6.119711512,47080,99,5133995,5181074,20,337,80,132,22,71,59,24,95,449,1,21,4,62,5,25,92.278,55.528,48.192,0,0
1377203,301,1,3,3,12,21,0,0,0,2,2,5030073,5.965356281,28899,99,5001028,5030073,6,91,22,41,10,28,15,22,89,84,0,16,6,10,1,8,124.752,107.504,89,59,0
1377271,147,0,1,1,1,6,2,0,0,1,1,5005300,5.92890397,168309,96,4836646,5005300,1,28,3,33,11,11,4,72,27,4,0,5,1,4,1,2,27.5,3,0,0,0
